Latitude,Longitude,Date,StartTime,EndTime,Det Flow*
57.149472,-2.097698,12/07/2019,00:00,00:15,148
57.149472,-2.097698,12/07/2019,00:15,00:30,112
57.149472,-2.097698,12/07/2019,00:30,00:45,104
57.149472,-2.097698,12/07/2019,00:45,01:00,124
57.149472,-2.097698,12/07/2019,01:00,01:15,84
57.149472,-2.097698,12/07/2019,01:15,01:30,84
57.149472,-2.097698,12/07/2019,01:30,01:45,112
57.149472,-2.097698,12/07/2019,01:45,02:00,60
57.149472,-2.097698,12/07/2019,02:00,02:15,112
57.149472,-2.097698,12/07/2019,02:15,02:30,104
57.149472,-2.097698,12/07/2019,02:30,02:45,80
57.149472,-2.097698,12/07/2019,02:45,03:00,80
57.149472,-2.097698,12/07/2019,03:00,03:15,52
57.149472,-2.097698,12/07/2019,03:15,03:30,68
57.149472,-2.097698,12/07/2019,03:30,03:45,48
57.149472,-2.097698,12/07/2019,03:45,04:00,52
57.149472,-2.097698,12/07/2019,04:00,04:15,52
57.149472,-2.097698,12/07/2019,04:15,04:30,32
57.149472,-2.097698,12/07/2019,04:30,04:45,36
57.149472,-2.097698,12/07/2019,04:45,05:00,68
57.149472,-2.097698,12/07/2019,05:00,05:15,44
57.149472,-2.097698,12/07/2019,05:15,05:30,56
57.149472,-2.097698,12/07/2019,05:30,05:45,80
57.149472,-2.097698,12/07/2019,05:45,06:00,88
57.149472,-2.097698,12/07/2019,06:00,06:15,92
57.149472,-2.097698,12/07/2019,06:15,06:30,140
57.149472,-2.097698,12/07/2019,06:30,06:45,232
57.149472,-2.097698,12/07/2019,06:45,07:00,240
57.149472,-2.097698,12/07/2019,07:00,07:15,188
57.149472,-2.097698,12/07/2019,07:15,07:30,220
57.149472,-2.097698,12/07/2019,07:30,07:45,288
57.149472,-2.097698,12/07/2019,07:45,08:00,308
57.149472,-2.097698,12/07/2019,08:00,08:15,440
57.149472,-2.097698,12/07/2019,08:15,08:30,352
57.149472,-2.097698,12/07/2019,08:30,08:45,392
57.149472,-2.097698,12/07/2019,08:45,09:00,404
57.149472,-2.097698,12/07/2019,09:00,09:15,416
57.149472,-2.097698,12/07/2019,09:15,09:30,356
57.149472,-2.097698,12/07/2019,09:30,09:45,328
57.149472,-2.097698,12/07/2019,09:45,10:00,308
57.149472,-2.097698,12/07/2019,10:00,10:15,256
57.149472,-2.097698,12/07/2019,10:15,10:30,348
57.149472,-2.097698,12/07/2019,10:30,10:45,328
57.149472,-2.097698,12/07/2019,10:45,11:00,436
57.149472,-2.097698,12/07/2019,11:00,11:15,352
57.149472,-2.097698,12/07/2019,11:15,11:30,464
57.149472,-2.097698,12/07/2019,11:30,11:45,392
57.149472,-2.097698,12/07/2019,11:45,12:00,352
57.149472,-2.097698,12/07/2019,12:00,12:15,404
57.149472,-2.097698,12/07/2019,12:15,12:30,396
57.149472,-2.097698,12/07/2019,12:30,12:45,412
57.149472,-2.097698,12/07/2019,12:45,13:00,392
57.149472,-2.097698,12/07/2019,13:00,13:15,332
57.149472,-2.097698,12/07/2019,13:15,13:30,504
57.149472,-2.097698,12/07/2019,13:30,13:45,436
57.149472,-2.097698,12/07/2019,13:45,14:00,460
57.149472,-2.097698,12/07/2019,14:00,14:15,416
57.149472,-2.097698,12/07/2019,14:15,14:30,1476
57.149472,-2.097698,12/07/2019,14:30,14:45,3600
57.149472,-2.097698,12/07/2019,14:45,15:00,3600
57.149472,-2.097698,12/07/2019,15:00,15:15,436
57.149472,-2.097698,12/07/2019,15:15,15:30,436
57.149472,-2.097698,12/07/2019,15:30,15:45,428
57.149472,-2.097698,12/07/2019,15:45,16:00,424
57.149472,-2.097698,12/07/2019,16:00,16:15,484
57.149472,-2.097698,12/07/2019,16:15,16:30,508
57.149472,-2.097698,12/07/2019,16:30,16:45,456
57.149472,-2.097698,12/07/2019,16:45,17:00,500
57.149472,-2.097698,12/07/2019,17:00,17:15,496
57.149472,-2.097698,12/07/2019,17:15,17:30,432
57.149472,-2.097698,12/07/2019,17:30,17:45,524
57.149472,-2.097698,12/07/2019,17:45,18:00,400
57.149472,-2.097698,12/07/2019,18:00,18:15,412
57.149472,-2.097698,12/07/2019,18:15,18:30,408
57.149472,-2.097698,12/07/2019,18:30,18:45,416
57.149472,-2.097698,12/07/2019,18:45,19:00,476
57.149472,-2.097698,12/07/2019,19:00,19:15,476
57.149472,-2.097698,12/07/2019,19:15,19:30,344
57.149472,-2.097698,12/07/2019,19:30,19:45,336
57.149472,-2.097698,12/07/2019,19:45,20:00,340
57.149472,-2.097698,12/07/2019,20:00,20:15,336
57.149472,-2.097698,12/07/2019,20:15,20:30,380
57.149472,-2.097698,12/07/2019,20:30,20:45,360
57.149472,-2.097698,12/07/2019,20:45,21:00,356
57.149472,-2.097698,12/07/2019,21:00,21:15,364
57.149472,-2.097698,12/07/2019,21:15,21:30,332
57.149472,-2.097698,12/07/2019,21:30,21:45,272
57.149472,-2.097698,12/07/2019,21:45,22:00,288
57.149472,-2.097698,12/07/2019,22:00,22:15,348
57.149472,-2.097698,12/07/2019,22:15,22:30,288
57.149472,-2.097698,12/07/2019,22:30,22:45,296
57.149472,-2.097698,12/07/2019,22:45,23:00,304
57.149472,-2.097698,12/07/2019,23:00,23:15,280
57.149472,-2.097698,12/07/2019,23:15,23:30,244
57.149472,-2.097698,12/07/2019,23:30,23:45,316
57.149472,-2.097698,12/07/2019,23:45,24:00:00,240
57.149472,-2.097698,13/07/2019,00:00,00:15,240
57.149472,-2.097698,13/07/2019,00:15,00:30,208
57.149472,-2.097698,13/07/2019,00:30,00:45,264
57.149472,-2.097698,13/07/2019,00:45,01:00,216
57.149472,-2.097698,13/07/2019,01:00,01:15,188
57.149472,-2.097698,13/07/2019,01:15,01:30,156
57.149472,-2.097698,13/07/2019,01:30,01:45,212
57.149472,-2.097698,13/07/2019,01:45,02:00,136
57.149472,-2.097698,13/07/2019,02:00,02:15,152
57.149472,-2.097698,13/07/2019,02:15,02:30,164
57.149472,-2.097698,13/07/2019,02:30,02:45,116
57.149472,-2.097698,13/07/2019,02:45,03:00,152
57.149472,-2.097698,13/07/2019,03:00,03:15,148
57.149472,-2.097698,13/07/2019,03:15,03:30,144
57.149472,-2.097698,13/07/2019,03:30,03:45,180
57.149472,-2.097698,13/07/2019,03:45,04:00,112
57.149472,-2.097698,13/07/2019,04:00,04:15,96
57.149472,-2.097698,13/07/2019,04:15,04:30,80
57.149472,-2.097698,13/07/2019,04:30,04:45,56
57.149472,-2.097698,13/07/2019,04:45,05:00,36
57.149472,-2.097698,13/07/2019,05:00,05:15,48
57.149472,-2.097698,13/07/2019,05:15,05:30,48
57.149472,-2.097698,13/07/2019,05:30,05:45,68
57.149472,-2.097698,13/07/2019,05:45,06:00,60
57.149472,-2.097698,13/07/2019,06:00,06:15,72
57.149472,-2.097698,13/07/2019,06:15,06:30,80
57.149472,-2.097698,13/07/2019,06:30,06:45,68
57.149472,-2.097698,13/07/2019,06:45,07:00,132
57.149472,-2.097698,13/07/2019,07:00,07:15,92
57.149472,-2.097698,13/07/2019,07:15,07:30,156
57.149472,-2.097698,13/07/2019,07:30,07:45,112
57.149472,-2.097698,13/07/2019,07:45,08:00,116
57.149472,-2.097698,13/07/2019,08:00,08:15,132
57.149472,-2.097698,13/07/2019,08:15,08:30,156
57.149472,-2.097698,13/07/2019,08:30,08:45,176
57.149472,-2.097698,13/07/2019,08:45,09:00,300
