Site,Day,Date,StartTime,EndTime,Amount
57.145859,-2.101296,12/07/2019,00:00,00:15,155
57.145859,-2.101296,12/07/2019,00:15,00:30,109
57.145859,-2.101296,12/07/2019,00:30,00:45,131
57.145859,-2.101296,12/07/2019,00:45,01:00,99
57.145859,-2.101296,12/07/2019,01:00,01:15,62
57.145859,-2.101296,12/07/2019,01:15,01:30,69
57.145859,-2.101296,12/07/2019,01:30,01:45,70
57.145859,-2.101296,12/07/2019,01:45,02:00,66
57.145859,-2.101296,12/07/2019,02:00,02:15,72
57.145859,-2.101296,12/07/2019,02:15,02:30,58
57.145859,-2.101296,12/07/2019,02:30,02:45,64
57.145859,-2.101296,12/07/2019,02:45,03:00,64
57.145859,-2.101296,12/07/2019,03:00,03:15,103
57.145859,-2.101296,12/07/2019,03:15,03:30,53
57.145859,-2.101296,12/07/2019,03:30,03:45,51
57.145859,-2.101296,12/07/2019,03:45,04:00,96
57.145859,-2.101296,12/07/2019,04:00,04:15,70
57.145859,-2.101296,12/07/2019,04:15,04:30,60
57.145859,-2.101296,12/07/2019,04:30,04:45,76
57.145859,-2.101296,12/07/2019,04:45,05:00,109
57.145859,-2.101296,12/07/2019,05:00,05:15,76
57.145859,-2.101296,12/07/2019,05:15,05:30,99
57.145859,-2.101296,12/07/2019,05:30,05:45,116
57.145859,-2.101296,12/07/2019,05:45,06:00,165
57.145859,-2.101296,12/07/2019,06:00,06:15,145
57.145859,-2.101296,12/07/2019,06:15,06:30,273
57.145859,-2.101296,12/07/2019,06:30,06:45,286
57.145859,-2.101296,12/07/2019,06:45,07:00,273
57.145859,-2.101296,12/07/2019,07:00,07:15,353
57.145859,-2.101296,12/07/2019,07:15,07:30,403
57.145859,-2.101296,12/07/2019,07:30,07:45,415
57.145859,-2.101296,12/07/2019,07:45,08:00,490
57.145859,-2.101296,12/07/2019,08:00,08:15,562
57.145859,-2.101296,12/07/2019,08:15,08:30,622
57.145859,-2.101296,12/07/2019,08:30,08:45,433
57.145859,-2.101296,12/07/2019,08:45,09:00,607
57.145859,-2.101296,12/07/2019,09:00,09:15,459
57.145859,-2.101296,12/07/2019,09:15,09:30,566
57.145859,-2.101296,12/07/2019,09:30,09:45,400
57.145859,-2.101296,12/07/2019,09:45,10:00,425
57.145859,-2.101296,12/07/2019,10:00,10:15,421
57.145859,-2.101296,12/07/2019,10:15,10:30,422
57.145859,-2.101296,12/07/2019,10:30,10:45,597
57.145859,-2.101296,12/07/2019,10:45,11:00,504
57.145859,-2.101296,12/07/2019,11:00,11:15,459
57.145859,-2.101296,12/07/2019,11:15,11:30,528
57.145859,-2.101296,12/07/2019,11:30,11:45,581
57.145859,-2.101296,12/07/2019,11:45,12:00,821
57.145859,-2.101296,12/07/2019,12:00,12:15,675
