Site,Day,Date,StartTime,EndTime,Det Flow*
57.141595,-2.104537,05/08/2019,00:00,00:15,88
57.141595,-2.104537,05/08/2019,00:15,00:30,96
57.141595,-2.104537,05/08/2019,00:30,00:45,116
57.141595,-2.104537,05/08/2019,00:45,01:00,92
57.141595,-2.104537,05/08/2019,01:00,01:15,40
57.141595,-2.104537,05/08/2019,01:15,01:30,72
57.141595,-2.104537,05/08/2019,01:30,01:45,56
57.141595,-2.104537,05/08/2019,01:45,02:00,64
57.141595,-2.104537,05/08/2019,02:00,02:15,60
57.141595,-2.104537,05/08/2019,02:15,02:30,92
57.141595,-2.104537,05/08/2019,02:30,02:45,64
57.141595,-2.104537,05/08/2019,02:45,03:00,60
57.141595,-2.104537,05/08/2019,03:00,03:15,52
57.141595,-2.104537,05/08/2019,03:15,03:30,44
57.141595,-2.104537,05/08/2019,03:30,03:45,36
57.141595,-2.104537,05/08/2019,03:45,04:00,20
57.141595,-2.104537,05/08/2019,04:00,04:15,28
57.141595,-2.104537,05/08/2019,04:15,04:30,28
57.141595,-2.104537,05/08/2019,04:30,04:45,40
57.141595,-2.104537,05/08/2019,04:45,05:00,48
57.141595,-2.104537,05/08/2019,05:00,05:15,44
57.141595,-2.104537,05/08/2019,05:15,05:30,64
57.141595,-2.104537,05/08/2019,05:30,05:45,68
57.141595,-2.104537,05/08/2019,05:45,06:00,92
57.141595,-2.104537,05/08/2019,06:00,06:15,92
57.141595,-2.104537,05/08/2019,06:15,06:30,156
57.141595,-2.104537,05/08/2019,06:30,06:45,224
57.141595,-2.104537,05/08/2019,06:45,07:00,268
57.141595,-2.104537,05/08/2019,07:00,07:15,236
57.141595,-2.104537,05/08/2019,07:15,07:30,336
57.141595,-2.104537,05/08/2019,07:30,07:45,396
57.141595,-2.104537,05/08/2019,07:45,08:00,368
57.141595,-2.104537,05/08/2019,08:00,08:15,360
57.141595,-2.104537,05/08/2019,08:15,08:30,464
57.141595,-2.104537,05/08/2019,08:30,08:45,400
57.141595,-2.104537,05/08/2019,08:45,09:00,456
57.141595,-2.104537,05/08/2019,09:00,09:15,352
57.141595,-2.104537,05/08/2019,09:15,09:30,380
57.141595,-2.104537,05/08/2019,09:30,09:45,300
57.141595,-2.104537,05/08/2019,09:45,10:00,340
57.141595,-2.104537,05/08/2019,10:00,10:15,412
57.141595,-2.104537,05/08/2019,10:15,10:30,352
57.141595,-2.104537,05/08/2019,10:30,10:45,380
57.141595,-2.104537,05/08/2019,10:45,11:00,484
57.141595,-2.104537,05/08/2019,11:00,11:15,488
57.141595,-2.104537,05/08/2019,11:15,11:30,492
57.141595,-2.104537,05/08/2019,11:30,11:45,556
57.141595,-2.104537,05/08/2019,11:45,12:00,440
57.141595,-2.104537,05/08/2019,12:00,12:15,448
57.141595,-2.104537,05/08/2019,12:15,12:30,384
57.141595,-2.104537,05/08/2019,12:30,12:45,444
57.141595,-2.104537,05/08/2019,12:45,13:00,424
57.141595,-2.104537,05/08/2019,13:00,13:15,400
57.141595,-2.104537,05/08/2019,13:15,13:30,360
57.141595,-2.104537,05/08/2019,13:30,13:45,332
57.141595,-2.104537,05/08/2019,13:45,14:00,344
