Latitude,Longitude,Date,Amount
57.148295,-2.099331,12/07/2019,112
57.148295,-2.099331,12/07/2019,132
57.148295,-2.099331,12/07/2019,116
57.148295,-2.099331,12/07/2019,104
57.148295,-2.099331,12/07/2019,80
57.148295,-2.099331,12/07/2019,68
57.148295,-2.099331,12/07/2019,84
57.148295,-2.099331,12/07/2019,72
57.148295,-2.099331,12/07/2019,76
57.148295,-2.099331,12/07/2019,92
57.148295,-2.099331,12/07/2019,40
57.148295,-2.099331,12/07/2019,64
57.148295,-2.099331,12/07/2019,88
57.148295,-2.099331,12/07/2019,60
57.148295,-2.099331,12/07/2019,44
57.148295,-2.099331,12/07/2019,72
57.148295,-2.099331,12/07/2019,44
57.148295,-2.099331,12/07/2019,36
57.148295,-2.099331,12/07/2019,48
57.148295,-2.099331,12/07/2019,84
57.148295,-2.099331,12/07/2019,72
57.148295,-2.099331,12/07/2019,72
57.148295,-2.099331,12/07/2019,136
57.148295,-2.099331,12/07/2019,180
57.148295,-2.099331,12/07/2019,128
57.148295,-2.099331,12/07/2019,276
57.148295,-2.099331,12/07/2019,236
57.148295,-2.099331,12/07/2019,276
57.148295,-2.099331,12/07/2019,328
57.148295,-2.099331,12/07/2019,356
57.148295,-2.099331,12/07/2019,452
57.148295,-2.099331,12/07/2019,420
57.148295,-2.099331,12/07/2019,488
57.148295,-2.099331,12/07/2019,500
57.148295,-2.099331,12/07/2019,384
57.148295,-2.099331,12/07/2019,492
57.148295,-2.099331,12/07/2019,388
57.148295,-2.099331,12/07/2019,452
57.148295,-2.099331,12/07/2019,384
57.148295,-2.099331,12/07/2019,416
57.148295,-2.099331,12/07/2019,400
57.148295,-2.099331,12/07/2019,400
57.148295,-2.099331,12/07/2019,392
57.148295,-2.099331,12/07/2019,384
57.148295,-2.099331,12/07/2019,384
57.148295,-2.099331,12/07/2019,428
57.148295,-2.099331,12/07/2019,436
57.148295,-2.099331,12/07/2019,428
57.148295,-2.099331,12/07/2019,496
57.148295,-2.099331,12/07/2019,444
57.148295,-2.099331,12/07/2019,436
57.148295,-2.099331,12/07/2019,328
57.148295,-2.099331,12/07/2019,320
57.148295,-2.099331,12/07/2019,468
57.148295,-2.099331,12/07/2019,428
57.148295,-2.099331,12/07/2019,432
57.148295,-2.099331,12/07/2019,400
57.148295,-2.099331,12/07/2019,1468
57.148295,-2.099331,12/07/2019,3600
57.148295,-2.099331,12/07/2019,3600
57.148295,-2.099331,12/07/2019,416
57.148295,-2.099331,12/07/2019,520
57.148295,-2.099331,12/07/2019,464
57.148295,-2.099331,12/07/2019,460
