Site,Day,Date,StartTime,EndTime,Flow
N01171A,WE,16-10-2019,00:00,00:15,108
N01171A,WE,16-10-2019,00:15,00:30,111
N01171A,WE,16-10-2019,00:30,00:45,67
N01171A,WE,16-10-2019,00:45,01:00,77
N01171A,WE,16-10-2019,01:00,01:15,70
N01171A,WE,16-10-2019,01:15,01:30,53
N01171A,WE,16-10-2019,01:30,01:45,70
N01171A,WE,16-10-2019,01:45,02:00,45
N01171A,WE,16-10-2019,02:00,02:15,83
N01171A,WE,16-10-2019,02:15,02:30,103
N01171A,WE,16-10-2019,02:30,02:45,126
N01171A,WE,16-10-2019,02:45,03:00,140
N01171A,WE,16-10-2019,03:00,03:15,82
N01171A,WE,16-10-2019,03:15,03:30,63
N01171A,WE,16-10-2019,03:30,03:45,44
N01171A,WE,16-10-2019,03:45,04:00,86
N01171A,WE,16-10-2019,04:00,04:15,92
N01171A,WE,16-10-2019,04:15,04:30,74
N01171A,WE,16-10-2019,04:30,04:45,48
N01171A,WE,16-10-2019,04:45,05:00,100
N01171A,WE,16-10-2019,05:00,05:15,62
N01171A,WE,16-10-2019,05:15,05:30,99
N01171A,WE,16-10-2019,05:30,05:45,129
N01171A,WE,16-10-2019,05:45,06:00,148
N01171A,WE,16-10-2019,06:00,06:15,124
N01171A,WE,16-10-2019,06:15,06:30,244
N01171A,WE,16-10-2019,06:30,06:45,292
N01171A,WE,16-10-2019,06:45,07:00,318
N01171A,WE,16-10-2019,07:00,07:15,359
N01171A,WE,16-10-2019,07:15,07:30,321
N01171A,WE,16-10-2019,07:30,07:45,488
N01171A,WE,16-10-2019,07:45,08:00,601
N01171A,WE,16-10-2019,08:00,08:15,429
N01171A,WE,16-10-2019,08:15,08:30,616
N01171A,WE,16-10-2019,08:30,08:45,557
N01171A,WE,16-10-2019,08:45,09:00,458
N01171A,WE,16-10-2019,09:00,09:15,310
N01171A,WE,16-10-2019,09:15,09:30,428
N01171A,WE,16-10-2019,09:30,09:45,387
N01171A,WE,16-10-2019,09:45,10:00,317
N01171A,WE,16-10-2019,10:00,10:15,353
N01171A,WE,16-10-2019,10:15,10:30,448
N01171A,WE,16-10-2019,10:30,10:45,324
N01171A,WE,16-10-2019,10:45,11:00,398
N01171A,WE,16-10-2019,11:00,11:15,365
N01171A,WE,16-10-2019,11:15,11:30,482
N01171A,WE,16-10-2019,11:30,11:45,311
N01171A,WE,16-10-2019,11:45,12:00,541
N01171A,WE,16-10-2019,12:00,12:15,392
N01171A,WE,16-10-2019,12:15,12:30,470
N01171A,WE,16-10-2019,12:30,12:45,437
N01171A,WE,16-10-2019,12:45,13:00,469
N01171A,WE,16-10-2019,13:00,13:15,492
N01171A,WE,16-10-2019,13:15,13:30,508
N01171A,WE,16-10-2019,13:30,13:45,457
N01171A,WE,16-10-2019,13:45,14:00,429
N01171A,WE,16-10-2019,14:00,14:15,645
N01171A,WE,16-10-2019,14:15,14:30,425
N01171A,WE,16-10-2019,14:30,14:45,495
N01171A,WE,16-10-2019,14:45,15:00,541
N01171A,WE,16-10-2019,15:00,15:15,487
N01171A,WE,16-10-2019,15:15,15:30,548
N01171A,WE,16-10-2019,15:30,15:45,450
N01171A,WE,16-10-2019,15:45,16:00,458
N01171A,WE,16-10-2019,16:00,16:15,480
N01171A,WE,16-10-2019,16:15,16:30,477
N01171A,WE,16-10-2019,16:30,16:45,522
N01171A,WE,16-10-2019,16:45,17:00,570
N01171A,WE,16-10-2019,17:00,17:15,524
N01171A,WE,16-10-2019,17:15,17:30,561
N01171A,WE,16-10-2019,17:30,17:45,433
N01171A,WE,16-10-2019,17:45,18:00,446
N01171A,WE,16-10-2019,18:00,18:15,365
N01171A,WE,16-10-2019,18:15,18:30,397
N01171A,WE,16-10-2019,18:30,18:45,456
N01171A,WE,16-10-2019,18:45,19:00,430
N01171A,WE,16-10-2019,19:00,19:15,353
N01171A,WE,16-10-2019,19:15,19:30,439
N01171A,WE,16-10-2019,19:30,19:45,388
N01171A,WE,16-10-2019,19:45,20:00,381
N01171A,WE,16-10-2019,20:00,20:15,366
N01171A,WE,16-10-2019,20:15,20:30,270
N01171A,WE,16-10-2019,20:30,20:45,356
N01171A,WE,16-10-2019,20:45,21:00,278
N01171A,WE,16-10-2019,21:00,21:15,247
N01171A,WE,16-10-2019,21:15,21:30,299
N01171A,WE,16-10-2019,21:30,21:45,317
N01171A,WE,16-10-2019,21:45,22:00,222
N01171A,WE,16-10-2019,22:00,22:15,278
N01171A,WE,16-10-2019,22:15,22:30,273
N01171A,WE,16-10-2019,22:30,22:45,200
N01171A,WE,16-10-2019,22:45,23:00,208
N01171A,WE,16-10-2019,23:00,23:15,126
N01171A,WE,16-10-2019,23:15,23:30,170
N01171A,WE,16-10-2019,23:30,23:45,125
N01171A,WE,16-10-2019,23:45,24:00,135
N01171A,TH,17-10-2019,00:00,00:15,108
N01171A,TH,17-10-2019,00:15,00:30,155
N01171A,TH,17-10-2019,00:30,00:45,131
N01171A,TH,17-10-2019,00:45,01:00,85
N01171A,TH,17-10-2019,01:00,01:15,65
N01171A,TH,17-10-2019,01:15,01:30,102
N01171A,TH,17-10-2019,01:30,01:45,89
N01171A,TH,17-10-2019,01:45,02:00,85
N01171A,TH,17-10-2019,02:00,02:15,117
