Site,Day,Date,StartTime,EndTime,Det Flow*
N01111V1,SU,19-01-2020,00:00,00:15,296
N01111V1,SU,19-01-2020,00:15,00:30,240
N01111V1,SU,19-01-2020,00:30,00:45,352
N01111V1,SU,19-01-2020,00:45,01:00,300
N01111V1,SU,19-01-2020,01:00,01:15,244
N01111V1,SU,19-01-2020,01:15,01:30,252
N01111V1,SU,19-01-2020,01:30,01:45,204
N01111V1,SU,19-01-2020,01:45,02:00,204
N01111V1,SU,19-01-2020,02:00,02:15,228
N01111V1,SU,19-01-2020,02:15,02:30,228
N01111V1,SU,19-01-2020,02:30,02:45,200
N01111V1,SU,19-01-2020,02:45,03:00,196
N01111V1,SU,19-01-2020,03:00,03:15,160
N01111V1,SU,19-01-2020,03:15,03:30,176
N01111V1,SU,19-01-2020,03:30,03:45,176
N01111V1,SU,19-01-2020,03:45,04:00,136
N01111V1,SU,19-01-2020,04:00,04:15,120
N01111V1,SU,19-01-2020,04:15,04:30,120
N01111V1,SU,19-01-2020,04:30,04:45,68
N01111V1,SU,19-01-2020,04:45,05:00,68
N01111V1,SU,19-01-2020,05:00,05:15,92
N01111V1,SU,19-01-2020,05:15,05:30,64
N01111V1,SU,19-01-2020,05:30,05:45,92
N01111V1,SU,19-01-2020,05:45,06:00,136
N01111V1,SU,19-01-2020,06:00,06:15,108
N01111V1,SU,19-01-2020,06:15,06:30,104
N01111V1,SU,19-01-2020,06:30,06:45,96
N01111V1,SU,19-01-2020,06:45,07:00,88
N01111V1,SU,19-01-2020,07:00,07:15,88
N01111V1,SU,19-01-2020,07:15,07:30,64
N01111V1,SU,19-01-2020,07:30,07:45,96
N01111V1,SU,19-01-2020,07:45,08:00,136
N01111V1,SU,19-01-2020,08:00,08:15,160
N01111V1,SU,19-01-2020,08:15,08:30,132
N01111V1,SU,19-01-2020,08:30,08:45,196
N01111V1,SU,19-01-2020,08:45,09:00,140
N01111V1,SU,19-01-2020,09:00,09:15,288
N01111V1,SU,19-01-2020,09:15,09:30,228
N01111V1,SU,19-01-2020,09:30,09:45,284
N01111V1,SU,19-01-2020,09:45,10:00,260
N01111V1,SU,19-01-2020,10:00,10:15,220
N01111V1,SU,19-01-2020,10:15,10:30,296
N01111V1,SU,19-01-2020,10:30,10:45,436
N01111V1,SU,19-01-2020,10:45,11:00,456
N01111V1,SU,19-01-2020,11:00,11:15,368
N01111V1,SU,19-01-2020,11:15,11:30,364
N01111V1,SU,19-01-2020,11:30,11:45,368
N01111V1,SU,19-01-2020,11:45,12:00,472
N01111V1,SU,19-01-2020,12:00,12:15,552
N01111V1,SU,19-01-2020,12:15,12:30,592
N01111V1,SU,19-01-2020,12:30,12:45,384
N01111V1,SU,19-01-2020,12:45,13:00,464
N01111V1,SU,19-01-2020,13:00,13:15,676
N01111V1,SU,19-01-2020,13:15,13:30,552
N01111V1,SU,19-01-2020,13:30,13:45,580
N01111V1,SU,19-01-2020,13:45,14:00,608
N01111V1,SU,19-01-2020,14:00,14:15,344
N01111V1,SU,19-01-2020,14:15,14:30,376
N01111V1,SU,19-01-2020,14:30,14:45,580
N01111V1,SU,19-01-2020,14:45,15:00,480
N01111V1,SU,19-01-2020,15:00,15:15,584
N01111V1,SU,19-01-2020,15:15,15:30,412
N01111V1,SU,19-01-2020,15:30,15:45,572
N01111V1,SU,19-01-2020,15:45,16:00,592
N01111V1,SU,19-01-2020,16:00,16:15,492
N01111V1,SU,19-01-2020,16:15,16:30,460
N01111V1,SU,19-01-2020,16:30,16:45,508
N01111V1,SU,19-01-2020,16:45,17:00,348
N01111V1,SU,19-01-2020,17:00,17:15,368
N01111V1,SU,19-01-2020,17:15,17:30,340
N01111V1,SU,19-01-2020,17:30,17:45,360
N01111V1,SU,19-01-2020,17:45,18:00,312
N01111V1,SU,19-01-2020,18:00,18:15,348
N01111V1,SU,19-01-2020,18:15,18:30,280
N01111V1,SU,19-01-2020,18:30,18:45,280
N01111V1,SU,19-01-2020,18:45,19:00,304
N01111V1,SU,19-01-2020,19:00,19:15,364
N01111V1,SU,19-01-2020,19:15,19:30,256
N01111V1,SU,19-01-2020,19:30,19:45,296
N01111V1,SU,19-01-2020,19:45,20:00,248
N01111V1,SU,19-01-2020,20:00,20:15,316
N01111V1,SU,19-01-2020,20:15,20:30,236
N01111V1,SU,19-01-2020,20:30,20:45,224
N01111V1,SU,19-01-2020,20:45,21:00,224
N01111V1,SU,19-01-2020,21:00,21:15,236
N01111V1,SU,19-01-2020,21:15,21:30,264
N01111V1,SU,19-01-2020,21:30,21:45,204
N01111V1,SU,19-01-2020,21:45,22:00,212
N01111V1,SU,19-01-2020,22:00,22:15,172
N01111V1,SU,19-01-2020,22:15,22:30,140
N01111V1,SU,19-01-2020,22:30,22:45,128
N01111V1,SU,19-01-2020,22:45,23:00,188
N01111V1,SU,19-01-2020,23:00,23:15,120
N01111V1,SU,19-01-2020,23:15,23:30,132
N01111V1,SU,19-01-2020,23:30,23:45,112
N01111V1,SU,19-01-2020,23:45,24:00,120
N01111V1,MO,20-01-2020,00:00,00:15,104
N01111V1,MO,20-01-2020,00:15,00:30,84
N01111V1,MO,20-01-2020,00:30,00:45,72
N01111V1,MO,20-01-2020,00:45,01:00,76
N01111V1,MO,20-01-2020,01:00,01:15,60
N01111V1,MO,20-01-2020,01:15,01:30,76
N01111V1,MO,20-01-2020,01:30,01:45,48
N01111V1,MO,20-01-2020,01:45,02:00,76
N01111V1,MO,20-01-2020,02:00,02:15,76
N01111V1,MO,20-01-2020,02:15,02:30,60
N01111V1,MO,20-01-2020,02:30,02:45,64
N01111V1,MO,20-01-2020,02:45,03:00,16
N01111V1,MO,20-01-2020,03:00,03:15,40
N01111V1,MO,20-01-2020,03:15,03:30,24
N01111V1,MO,20-01-2020,03:30,03:45,20
N01111V1,MO,20-01-2020,03:45,04:00,44
N01111V1,MO,20-01-2020,04:00,04:15,56
N01111V1,MO,20-01-2020,04:15,04:30,32
N01111V1,MO,20-01-2020,04:30,04:45,48
N01111V1,MO,20-01-2020,04:45,05:00,96
N01111V1,MO,20-01-2020,05:00,05:15,104
N01111V1,MO,20-01-2020,05:15,05:30,84
N01111V1,MO,20-01-2020,05:30,05:45,128
N01111V1,MO,20-01-2020,05:45,06:00,128
N01111V1,MO,20-01-2020,06:00,06:15,164
N01111V1,MO,20-01-2020,06:15,06:30,240
N01111V1,MO,20-01-2020,06:30,06:45,312
N01111V1,MO,20-01-2020,06:45,07:00,328
N01111V1,MO,20-01-2020,07:00,07:15,324
N01111V1,MO,20-01-2020,07:15,07:30,392
N01111V1,MO,20-01-2020,07:30,07:45,468
N01111V1,MO,20-01-2020,07:45,08:00,512
N01111V1,MO,20-01-2020,08:00,08:15,468
N01111V1,MO,20-01-2020,08:15,08:30,524
N01111V1,MO,20-01-2020,08:30,08:45,428
N01111V1,MO,20-01-2020,08:45,09:00,436
N01111V1,MO,20-01-2020,09:00,09:15,416
N01111V1,MO,20-01-2020,09:15,09:30,356
N01111V1,MO,20-01-2020,09:30,09:45,344
N01111V1,MO,20-01-2020,09:45,10:00,320
N01111V1,MO,20-01-2020,10:00,10:15,356
N01111V1,MO,20-01-2020,10:15,10:30,328
N01111V1,MO,20-01-2020,10:30,10:45,384
N01111V1,MO,20-01-2020,10:45,11:00,376
N01111V1,MO,20-01-2020,11:00,11:15,372
N01111V1,MO,20-01-2020,11:15,11:30,304
N01111V1,MO,20-01-2020,11:30,11:45,348
N01111V1,MO,20-01-2020,11:45,12:00,376
N01111V1,MO,20-01-2020,12:00,12:15,344
N01111V1,MO,20-01-2020,12:15,12:30,312
N01111V1,MO,20-01-2020,12:30,12:45,408
N01111V1,MO,20-01-2020,12:45,13:00,408
N01111V1,MO,20-01-2020,13:00,13:15,412
N01111V1,MO,20-01-2020,13:15,13:30,388
N01111V1,MO,20-01-2020,13:30,13:45,344
N01111V1,MO,20-01-2020,13:45,14:00,340
N01111V1,MO,20-01-2020,14:00,14:15,424
N01111V1,MO,20-01-2020,14:15,14:30,408
N01111V1,MO,20-01-2020,14:30,14:45,440
N01111V1,MO,20-01-2020,14:45,15:00,372
N01111V1,MO,20-01-2020,15:00,15:15,360
N01111V1,MO,20-01-2020,15:15,15:30,364
N01111V1,MO,20-01-2020,15:30,15:45,384
N01111V1,MO,20-01-2020,15:45,16:00,436
N01111V1,MO,20-01-2020,16:00,16:15,436
N01111V1,MO,20-01-2020,16:15,16:30,444
N01111V1,MO,20-01-2020,16:30,16:45,492
N01111V1,MO,20-01-2020,16:45,17:00,308
N01111V1,MO,20-01-2020,17:00,17:15,440
N01111V1,MO,20-01-2020,17:15,17:30,512
N01111V1,MO,20-01-2020,17:30,17:45,412
N01111V1,MO,20-01-2020,17:45,18:00,400
N01111V1,MO,20-01-2020,18:00,18:15,352
N01111V1,MO,20-01-2020,18:15,18:30,400
N01111V1,MO,20-01-2020,18:30,18:45,452
