Site,Day,Date,StartTime,EndTime,Det Flow*
N01121T1,WE,16-10-2019,00:00,00:15,128
N01121T1,WE,16-10-2019,00:15,00:30,116
N01121T1,WE,16-10-2019,00:30,00:45,72
N01121T1,WE,16-10-2019,00:45,01:00,80
N01121T1,WE,16-10-2019,01:00,01:15,88
N01121T1,WE,16-10-2019,01:15,01:30,68
N01121T1,WE,16-10-2019,01:30,01:45,72
N01121T1,WE,16-10-2019,01:45,02:00,92
N01121T1,WE,16-10-2019,02:00,02:15,140
N01121T1,WE,16-10-2019,02:15,02:30,136
N01121T1,WE,16-10-2019,02:30,02:45,140
N01121T1,WE,16-10-2019,02:45,03:00,124
N01121T1,WE,16-10-2019,03:00,03:15,60
N01121T1,WE,16-10-2019,03:15,03:30,52
N01121T1,WE,16-10-2019,03:30,03:45,56
N01121T1,WE,16-10-2019,03:45,04:00,48
N01121T1,WE,16-10-2019,04:00,04:15,48
N01121T1,WE,16-10-2019,04:15,04:30,16
N01121T1,WE,16-10-2019,04:30,04:45,44
N01121T1,WE,16-10-2019,04:45,05:00,40
N01121T1,WE,16-10-2019,05:00,05:15,64
N01121T1,WE,16-10-2019,05:15,05:30,72
N01121T1,WE,16-10-2019,05:30,05:45,88
N01121T1,WE,16-10-2019,05:45,06:00,100
N01121T1,WE,16-10-2019,06:00,06:15,112
N01121T1,WE,16-10-2019,06:15,06:30,116
N01121T1,WE,16-10-2019,06:30,06:45,164
N01121T1,WE,16-10-2019,06:45,07:00,236
N01121T1,WE,16-10-2019,07:00,07:15,192
N01121T1,WE,16-10-2019,07:15,07:30,220
N01121T1,WE,16-10-2019,07:30,07:45,316
N01121T1,WE,16-10-2019,07:45,08:00,384
N01121T1,WE,16-10-2019,08:00,08:15,336
N01121T1,WE,16-10-2019,08:15,08:30,376
N01121T1,WE,16-10-2019,08:30,08:45,416
N01121T1,WE,16-10-2019,08:45,09:00,388
N01121T1,WE,16-10-2019,09:00,09:15,340
N01121T1,WE,16-10-2019,09:15,09:30,276
N01121T1,WE,16-10-2019,09:30,09:45,248
N01121T1,WE,16-10-2019,09:45,10:00,328
N01121T1,WE,16-10-2019,10:00,10:15,336
N01121T1,WE,16-10-2019,10:15,10:30,348
N01121T1,WE,16-10-2019,10:30,10:45,392
N01121T1,WE,16-10-2019,10:45,11:00,352
N01121T1,WE,16-10-2019,11:00,11:15,372
N01121T1,WE,16-10-2019,11:15,11:30,400
N01121T1,WE,16-10-2019,11:30,11:45,316
N01121T1,WE,16-10-2019,11:45,12:00,440
N01121T1,WE,16-10-2019,12:00,12:15,380
N01121T1,WE,16-10-2019,12:15,12:30,432
N01121T1,WE,16-10-2019,12:30,12:45,396
N01121T1,WE,16-10-2019,12:45,13:00,360
N01121T1,WE,16-10-2019,13:00,13:15,384
N01121T1,WE,16-10-2019,13:15,13:30,396
N01121T1,WE,16-10-2019,13:30,13:45,376
N01121T1,WE,16-10-2019,13:45,14:00,408
N01121T1,WE,16-10-2019,14:00,14:15,356
N01121T1,WE,16-10-2019,14:15,14:30,420
N01121T1,WE,16-10-2019,14:30,14:45,376
N01121T1,WE,16-10-2019,14:45,15:00,376
N01121T1,WE,16-10-2019,15:00,15:15,440
N01121T1,WE,16-10-2019,15:15,15:30,476
N01121T1,WE,16-10-2019,15:30,15:45,436
N01121T1,WE,16-10-2019,15:45,16:00,384
N01121T1,WE,16-10-2019,16:00,16:15,428
N01121T1,WE,16-10-2019,16:15,16:30,528
N01121T1,WE,16-10-2019,16:30,16:45,412
N01121T1,WE,16-10-2019,16:45,17:00,464
N01121T1,WE,16-10-2019,17:00,17:15,564
N01121T1,WE,16-10-2019,17:15,17:30,476
N01121T1,WE,16-10-2019,17:30,17:45,496
N01121T1,WE,16-10-2019,17:45,18:00,468
N01121T1,WE,16-10-2019,18:00,18:15,460
N01121T1,WE,16-10-2019,18:15,18:30,396
N01121T1,WE,16-10-2019,18:30,18:45,376
N01121T1,WE,16-10-2019,18:45,19:00,380
N01121T1,WE,16-10-2019,19:00,19:15,356
N01121T1,WE,16-10-2019,19:15,19:30,408
N01121T1,WE,16-10-2019,19:30,19:45,316
