Site,Day,Date,StartTime,EndTime,Flow
N01171A,WE,29-07-2020,00:00,00:15,43
N01171A,WE,29-07-2020,00:15,00:30,7
N01171A,WE,29-07-2020,00:30,00:45,22
N01171A,WE,29-07-2020,00:45,01:00,46
N01171A,WE,29-07-2020,01:00,01:15,25
N01171A,WE,29-07-2020,01:15,01:30,12
N01171A,WE,29-07-2020,01:30,01:45,17
N01171A,WE,29-07-2020,01:45,02:00,20
N01171A,WE,29-07-2020,02:00,02:15,29
N01171A,WE,29-07-2020,02:15,02:30,28
N01171A,WE,29-07-2020,02:30,02:45,12
N01171A,WE,29-07-2020,02:45,03:00,14
N01171A,WE,29-07-2020,03:00,03:15,33
N01171A,WE,29-07-2020,03:15,03:30,3
N01171A,WE,29-07-2020,03:30,03:45,16
N01171A,WE,29-07-2020,03:45,04:00,9
N01171A,WE,29-07-2020,04:00,04:15,6
N01171A,WE,29-07-2020,04:15,04:30,23
N01171A,WE,29-07-2020,04:30,04:45,32
N01171A,WE,29-07-2020,04:45,05:00,27
N01171A,WE,29-07-2020,05:00,05:15,32
N01171A,WE,29-07-2020,05:15,05:30,33
N01171A,WE,29-07-2020,05:30,05:45,42
N01171A,WE,29-07-2020,05:45,06:00,57
N01171A,WE,29-07-2020,06:00,06:15,54
N01171A,WE,29-07-2020,06:15,06:30,41
N01171A,WE,29-07-2020,06:30,06:45,85
N01171A,WE,29-07-2020,06:45,07:00,87
N01171A,WE,29-07-2020,07:00,07:15,86
N01171A,WE,29-07-2020,07:15,07:30,123
N01171A,WE,29-07-2020,07:30,07:45,142
N01171A,WE,29-07-2020,07:45,08:00,135
N01171A,WE,29-07-2020,08:00,08:15,128
N01171A,WE,29-07-2020,08:15,08:30,136
N01171A,WE,29-07-2020,08:30,08:45,134
N01171A,WE,29-07-2020,08:45,09:00,178
N01171A,WE,29-07-2020,09:00,09:15,152
N01171A,WE,29-07-2020,09:15,09:30,89
N01171A,WE,29-07-2020,09:30,09:45,162
N01171A,WE,29-07-2020,09:45,10:00,144
N01171A,WE,29-07-2020,10:00,10:15,124
N01171A,WE,29-07-2020,10:15,10:30,146
N01171A,WE,29-07-2020,10:30,10:45,163
N01171A,WE,29-07-2020,10:45,11:00,188
N01171A,WE,29-07-2020,11:00,11:15,178
N01171A,WE,29-07-2020,11:15,11:30,207
N01171A,WE,29-07-2020,11:30,11:45,164
N01171A,WE,29-07-2020,11:45,12:00,185
N01171A,WE,29-07-2020,12:00,12:15,194
N01171A,WE,29-07-2020,12:15,12:30,172
N01171A,WE,29-07-2020,12:30,12:45,194
N01171A,WE,29-07-2020,12:45,13:00,155
N01171A,WE,29-07-2020,13:00,13:15,145
N01171A,WE,29-07-2020,13:15,13:30,183
N01171A,WE,29-07-2020,13:30,13:45,232
N01171A,WE,29-07-2020,13:45,14:00,162
N01171A,WE,29-07-2020,14:00,14:15,171
N01171A,WE,29-07-2020,14:15,14:30,150
N01171A,WE,29-07-2020,14:30,14:45,183
N01171A,WE,29-07-2020,14:45,15:00,190
N01171A,WE,29-07-2020,15:00,15:15,226
N01171A,WE,29-07-2020,15:15,15:30,205
N01171A,WE,29-07-2020,15:30,15:45,155
N01171A,WE,29-07-2020,15:45,16:00,184
N01171A,WE,29-07-2020,16:00,16:15,181
N01171A,WE,29-07-2020,16:15,16:30,180
N01171A,WE,29-07-2020,16:30,16:45,190
N01171A,WE,29-07-2020,16:45,17:00,142
N01171A,WE,29-07-2020,17:00,17:15,140
N01171A,WE,29-07-2020,17:15,17:30,168
N01171A,WE,29-07-2020,17:30,17:45,140
N01171A,WE,29-07-2020,17:45,18:00,176
N01171A,WE,29-07-2020,18:00,18:15,110
N01171A,WE,29-07-2020,18:15,18:30,137
N01171A,WE,29-07-2020,18:30,18:45,137
N01171A,WE,29-07-2020,18:45,19:00,157
N01171A,WE,29-07-2020,19:00,19:15,98
N01171A,WE,29-07-2020,19:15,19:30,140
N01171A,WE,29-07-2020,19:30,19:45,100
N01171A,WE,29-07-2020,19:45,20:00,124
N01171A,WE,29-07-2020,20:00,20:15,126
N01171A,WE,29-07-2020,20:15,20:30,85
N01171A,WE,29-07-2020,20:30,20:45,57
N01171A,WE,29-07-2020,20:45,21:00,103
N01171A,WE,29-07-2020,21:00,21:15,81
N01171A,WE,29-07-2020,21:15,21:30,95
N01171A,WE,29-07-2020,21:30,21:45,78
N01171A,WE,29-07-2020,21:45,22:00,84
N01171A,WE,29-07-2020,22:00,22:15,88
N01171A,WE,29-07-2020,22:15,22:30,46
N01171A,WE,29-07-2020,22:30,22:45,65
N01171A,WE,29-07-2020,22:45,23:00,81
N01171A,WE,29-07-2020,23:00,23:15,55
N01171A,WE,29-07-2020,23:15,23:30,88
N01171A,WE,29-07-2020,23:30,23:45,47
N01171A,WE,29-07-2020,23:45,24:00,93
N01171A,TH,30-07-2020,00:00,00:15,36
N01171A,TH,30-07-2020,00:15,00:30,40
N01171A,TH,30-07-2020,00:30,00:45,63
N01171A,TH,30-07-2020,00:45,01:00,39
N01171A,TH,30-07-2020,01:00,01:15,29
N01171A,TH,30-07-2020,01:15,01:30,37
N01171A,TH,30-07-2020,01:30,01:45,14
N01171A,TH,30-07-2020,01:45,02:00,29
N01171A,TH,30-07-2020,02:00,02:15,36
N01171A,TH,30-07-2020,02:15,02:30,21
N01171A,TH,30-07-2020,02:30,02:45,16
N01171A,TH,30-07-2020,02:45,03:00,8
N01171A,TH,30-07-2020,03:00,03:15,12
N01171A,TH,30-07-2020,03:15,03:30,21
N01171A,TH,30-07-2020,03:30,03:45,10
N01171A,TH,30-07-2020,03:45,04:00,4
N01171A,TH,30-07-2020,04:00,04:15,0
N01171A,TH,30-07-2020,04:15,04:30,6
N01171A,TH,30-07-2020,04:30,04:45,6
