Site,Day,Date,StartTime,EndTime,Det Flow*
N01341A1,WE,29-07-2020,00:00,00:15,84
N01341A1,WE,29-07-2020,00:15,00:30,56
N01341A1,WE,29-07-2020,00:30,00:45,40
N01341A1,WE,29-07-2020,00:45,01:00,20
N01341A1,WE,29-07-2020,01:00,01:15,28
N01341A1,WE,29-07-2020,01:15,01:30,16
N01341A1,WE,29-07-2020,01:30,01:45,20
N01341A1,WE,29-07-2020,01:45,02:00,28
N01341A1,WE,29-07-2020,02:00,02:15,20
N01341A1,WE,29-07-2020,02:15,02:30,32
N01341A1,WE,29-07-2020,02:30,02:45,20
N01341A1,WE,29-07-2020,02:45,03:00,24
N01341A1,WE,29-07-2020,03:00,03:15,16
N01341A1,WE,29-07-2020,03:15,03:30,0
N01341A1,WE,29-07-2020,03:30,03:45,16
N01341A1,WE,29-07-2020,03:45,04:00,4
N01341A1,WE,29-07-2020,04:00,04:15,12
N01341A1,WE,29-07-2020,04:15,04:30,20
N01341A1,WE,29-07-2020,04:30,04:45,20
N01341A1,WE,29-07-2020,04:45,05:00,12
N01341A1,WE,29-07-2020,05:00,05:15,12
N01341A1,WE,29-07-2020,05:15,05:30,20
N01341A1,WE,29-07-2020,05:30,05:45,36
N01341A1,WE,29-07-2020,05:45,06:00,28
N01341A1,WE,29-07-2020,06:00,06:15,56
N01341A1,WE,29-07-2020,06:15,06:30,36
N01341A1,WE,29-07-2020,06:30,06:45,72
N01341A1,WE,29-07-2020,06:45,07:00,76
N01341A1,WE,29-07-2020,07:00,07:15,80
N01341A1,WE,29-07-2020,07:15,07:30,72
N01341A1,WE,29-07-2020,07:30,07:45,124
N01341A1,WE,29-07-2020,07:45,08:00,96
N01341A1,WE,29-07-2020,08:00,08:15,108
N01341A1,WE,29-07-2020,08:15,08:30,120
N01341A1,WE,29-07-2020,08:30,08:45,132
N01341A1,WE,29-07-2020,08:45,09:00,116
N01341A1,WE,29-07-2020,09:00,09:15,124
N01341A1,WE,29-07-2020,09:15,09:30,92
N01341A1,WE,29-07-2020,09:30,09:45,112
N01341A1,WE,29-07-2020,09:45,10:00,128
N01341A1,WE,29-07-2020,10:00,10:15,148
N01341A1,WE,29-07-2020,10:15,10:30,128
N01341A1,WE,29-07-2020,10:30,10:45,140
N01341A1,WE,29-07-2020,10:45,11:00,124
N01341A1,WE,29-07-2020,11:00,11:15,188
N01341A1,WE,29-07-2020,11:15,11:30,128
N01341A1,WE,29-07-2020,11:30,11:45,152
N01341A1,WE,29-07-2020,11:45,12:00,136
N01341A1,WE,29-07-2020,12:00,12:15,172
N01341A1,WE,29-07-2020,12:15,12:30,152
N01341A1,WE,29-07-2020,12:30,12:45,164
N01341A1,WE,29-07-2020,12:45,13:00,216
N01341A1,WE,29-07-2020,13:00,13:15,192
N01341A1,WE,29-07-2020,13:15,13:30,184
N01341A1,WE,29-07-2020,13:30,13:45,208
